team,season,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
LA Clippers,2017-18 ,2.26769855366658,0.837858411570667,1.77721390510023,0.197158081705151,0.557218979954326,0.394823648820096,0.531590966759706,0.211113930474499,0.70185232174575,0.912966252220249,0.464856635371733,0.30550621669627,0.159350418675463,0.0943922862217711,0.41563055062167,0.000761228114691703
Los Angeles Lakers,2017-18 ,2.22607385079126,0.838482793268023,1.82064807837227,0.206480783722683,0.598844511429289,0.34262748053253,0.47977895001256,0.220045214770158,0.735242401406682,0.95528761617684,0.489575483546848,0.325295151971866,0.159005275056518,0.097462949007787,0.436071338859583,-0.031901532278322
Phoenix Suns,2017-18 ,2.16239533113423,0.80005074854098,1.81197665567115,0.19360568383659,0.580055823395077,0.368688150215681,0.497843187008374,0.213651357523471,0.704389748794722,0.918041106318193,0.442273534635879,0.327074346612535,0.144379599086526,0.0938848008119767,0.458513067749302,-0.194874397361076
Sacramento Kings,2017-18 ,2.05112629713996,0.804606428752215,1.78764869653252,0.186788154897494,0.497848645912427,0.255125284738041,0.347000759301443,0.196405973171349,0.652493039736776,0.848899012908125,0.447481650215135,0.284738041002278,0.162743609212858,0.0860541635029107,0.414831688180208,-0.145026575550494
Dallas Mavericks,2017-18 ,2.11815198182277,0.789699570815451,1.77783388033325,0.244130270133805,0.678616510982075,0.294622570058066,0.386266094420601,0.168139358747791,0.685937894471093,0.854077253218884,0.46907346629639,0.254228730118657,0.145922746781116,0.0782630648826054,0.398384246402424,-0.0628629134057056
Houston Rockets,2017-18 ,2.33181473044799,0.80334092634776,1.74791192103265,0.317894203998988,0.878258668691471,0.40723867375348,0.521640091116173,0.187041255378385,0.715008858516831,0.902050113895216,0.447228549734245,0.287269045811187,0.176917236142749,0.0992153885092382,0.404201467982789,0.175904834219185
Memphis Grizzlies,2017-18 ,2.06673433138797,0.764526769855367,1.72240548084243,0.192336970312104,0.546054300938848,0.345343821365136,0.43948236488201,0.197665567114945,0.645521441258564,0.843187008373509,0.448363359553413,0.311342298908906,0.155544278102005,0.100482111139305,0.482111139304745,-0.129155036792692
New Orleans Pelicans,2017-18 ,2.29541468303683,0.876973189676773,1.814332247557,0.209721874216988,0.579303432723628,0.331746429466299,0.429967426710098,0.178401403157103,0.732397895264345,0.910799298421448,0.549987471811576,0.306439488849912,0.164620395890754,0.121523427712353,0.393385116512152,0.0268103232272613
San Antonio Spurs,2017-18 ,2.13482007095793,0.811454637607704,1.77369488089204,0.176381145463761,0.501013684744045,0.335529650278763,0.434617334009123,0.215154586923467,0.703750633552965,0.918905220476432,0.473390775468829,0.27318803852002,0.159148504815003,0.116573745565129,0.3568170299037,0.0600608210846427
Boston Celtics,2018-19 ,2.32962588473205,0.872345803842265,1.87639029322548,0.260869565217391,0.715116279069768,0.324064711830131,0.403943377148635,0.203235591506572,0.720171890798787,0.923407482305359,0.54474216380182,0.265925176946411,0.178463094034378,0.109959555106168,0.422143579373104,0.0920121334681496
Brooklyn Nets,2018-19 ,2.3033033033033,0.826076076076076,1.84134134134134,0.262012012012012,0.741991991991992,0.389139139139139,0.522522522522523,0.225225225225225,0.730480480480481,0.955705705705706,0.488988988988989,0.309309309309309,0.134884884884885,0.0848348348348348,0.441191191191191,-0.0015015015015015
New York Knicks,2018-19 ,2.16759352881699,0.79221435793731,1.83038422649141,0.208038422649141,0.611981799797776,0.375126390293226,0.494438827098079,0.216632962588473,0.71056622851365,0.927199191102123,0.416076845298281,0.290950455005056,0.140798786653185,0.106673407482305,0.433013144590495,-0.190849342770475
Philadelphia 76ers,2018-19 ,2.38449886392325,0.860136329209796,1.82605402676092,0.224438273163343,0.624589750063115,0.439787932340318,0.570058066144913,0.225195657662207,0.763696036354456,0.988891694016662,0.557182529664226,0.308760414036859,0.152991668770512,0.109063367836405,0.440545316839182,0.055793991416309
Toronto Raptors,2018-19 ,2.36016096579477,0.870221327967807,1.83727364185111,0.255281690140845,0.696931589537223,0.36443661971831,0.453470824949698,0.197686116700201,0.734406438631791,0.932092555331992,0.524396378269618,0.289235412474849,0.17102615694165,0.109909456740443,0.433601609657948,0.125503018108652
Chicago Bulls,2018-19 ,2.16151720673198,0.820396885204722,1.8098467721678,0.187138909821653,0.533283094699824,0.333584526500879,0.425772418990203,0.180356694297915,0.703089675960814,0.883446370258729,0.451142928912334,0.291132881185632,0.151469480030143,0.0881688018085908,0.417734237628737,-0.173323285606632
Cleveland Cavaliers,2018-19 ,2.16831181979246,0.807137433561124,1.81827385472032,0.214376107314604,0.604403948367502,0.339660845355606,0.428752214629208,0.222475322703113,0.662870159453303,0.885345482156416,0.429764616552771,0.279929131865351,0.135155656795748,0.0493545937737282,0.41559098962288,-0.19944317894204
Detroit Pistons,2018-19 ,2.21052631578947,0.80206497104004,1.82271468144044,0.250062956434148,0.718710652228658,0.356333417275246,0.476706119365399,0.235708889448502,0.693024427096449,0.928733316544951,0.464618484009066,0.285822211029967,0.143288844119869,0.0833543188113825,0.456056408964996,-0.00503651473180559
Indiana Pacers,2018-19 ,2.2473991372748,0.860187769601624,1.81045419944177,0.197665567114945,0.528038568891144,0.32935803095661,0.438213651357524,0.193351941131692,0.70185232174575,0.895204262877442,0.539964476021314,0.284699314894697,0.180918548591728,0.102512052778483,0.404465871606191,0.0692717584369449
